transaction_id,account_id,transaction_type,amount,description,balance_after,timestamp,reference_id,status
T0000554,A00052,CREDIT,781.09,ATM Withdrawal,33087.52,2024-07-26T07:10:02+00:00,,COMPLETED
T0002167,A00212,CREDIT,702.08,Salary Deposit,171753.9,2023-12-23T15:55:41+00:00,,COMPLETED
T0000357,A00035,DEBIT,1056.00,Transfer In,194913.68,2025-06-27T15:30:37+00:00,,COMPLETED
T0002150,A00210,DEBIT,496.98,Fee,194765.92,2024-12-28T06:53:16+00:00,,COMPLETED
T0001859,A00180,CREDIT,26809.36,Transfer Out,160559.56,2019-06-26T08:11:39+00:00,,COMPLETED
T0000283,A00026,CREDIT,690.97,ATM Withdrawal,111059.22,2021-12-11T14:45:46+00:00,,COMPLETED
T0002151,A00210,DEBIT,617.24,Interest Credit,194647.94,2022-07-03T04:23:27+00:00,,COMPLETED
T0000160,A00015,CREDIT,1810.55,Transfer In,176651.0,2019-05-09T11:55:35+00:00,,COMPLETED
T0002071,A00202,CREDIT,1997.39,Interest Credit,13429.69,2023-05-11T16:55:49+00:00,,COMPLETED
T0001938,A00188,CREDIT,1609.86,Interest Credit,794.33,2025-03-30T23:32:45+00:00,,COMPLETED
T0000178,A00017,DEBIT,1611.30,Interest Credit,13862.3,2025-10-05T02:27:18+00:00,,COMPLETED
T0001967,A00190,DEBIT,1995.44,Fee,62468.06,2022-01-25T20:12:26+00:00,,COMPLETED
T0001150,A00107,DEBIT,1548.05,POS Purchase,146432.11,2024-08-30T15:11:39+00:00,,COMPLETED
T0001297,A00118,CREDIT,555.50,Salary Deposit,106432.68,2022-07-13T10:44:05+00:00,,COMPLETED
T0000019,A00003,DEBIT,1585.74,Transfer Out,155450.75,2022-10-19T00:09:52+00:00,,COMPLETED
T0001237,A00113,DEBIT,689.19,ATM Withdrawal,82311.57,2023-06-08T17:07:54+00:00,,COMPLETED
T0001242,A00113,CREDIT,619.30,Interest Credit,82303.79,2025-07-28T12:18:10+00:00,,COMPLETED
T0000546,A00052,CREDIT,1824.08,Transfer In,32764.66,2023-09-09T13:17:30+00:00,,COMPLETED
T0000809,A00075,DEBIT,26.78,ATM Withdrawal,28572.98,2023-08-08T09:57:19+00:00,,COMPLETED
T0001374,A00133,CREDIT,145.26,POS Purchase,105485.03,2020-07-18T18:58:46+00:00,,COMPLETED
T0001482,A00145,DEBIT,48.36,Salary Deposit,114447.29,2024-06-02T14:17:03+00:00,,COMPLETED
T0000091,A00010,CREDIT,1218.74,Salary Deposit,187927.96,2020-11-14T22:39:16+00:00,,COMPLETED
T0001178,A00108,CREDIT,1055.21,Transfer Out,174131.06,2021-08-22T06:48:28+00:00,,COMPLETED
T0001702,A00165,CREDIT,556.88,POS Purchase,82107.05,2019-01-19T15:31:31+00:00,,COMPLETED
T0000455,A00044,DEBIT,1176.02,POS Purchase,57809.9,2021-11-25T22:47:17+00:00,,COMPLETED
T0001254,A00115,DEBIT,1366.66,Salary Deposit,54437.52,2025-06-09T05:28:57+00:00,,COMPLETED
T0000318,A00031,CREDIT,583.86,POS Purchase,184339.92,2019-02-19T07:04:27+00:00,,COMPLETED
T0001614,A00158,DEBIT,1777.70,Transfer Out,148731.16,2020-10-29T15:15:24+00:00,,COMPLETED
T0000747,A00071,DEBIT,1207.15,Transfer In,176855.43,2023-03-19T03:32:25+00:00,,COMPLETED
T0000709,A00069,DEBIT,1913.76,Salary Deposit,121171.49,2022-02-03T12:53:49+00:00,,COMPLETED
T0001344,A00127,DEBIT,798.77,Transfer In,20665.08,2020-05-21T15:50:07+00:00,,COMPLETED
T0000585,A00055,CREDIT,407.26,Interest Credit,119519.74,2022-12-29T07:06:06+00:00,,COMPLETED
T0000033,A00004,CREDIT,1713.74,Fee,67043.52,2022-10-21T09:34:09+00:00,,COMPLETED
T0001620,A00158,CREDIT,18430.02,Transfer In,147992.39,2020-03-02T07:15:03+00:00,,COMPLETED
T0000253,A00025,DEBIT,1024.64,ATM Withdrawal,114391.17,2024-10-29T07:30:27+00:00,,COMPLETED
T0001735,A00167,CREDIT,428.24,POS Purchase,159965.06,2024-10-06T08:54:26+00:00,,COMPLETED
T0000020,A00003,DEBIT,288.62,Transfer Out,155794.15,2025-09-26T13:54:11+00:00,,COMPLETED
T0000515,A00050,CREDIT,1475.50,Salary Deposit,150399.68,2023-01-30T12:21:02+00:00,,COMPLETED
T0002340,A00230,DEBIT,679.81,Transfer Out,123154.15,2025-12-21T05:52:08+00:00,,COMPLETED
T0000866,A00081,CREDIT,1484.57,Transfer Out,33549.91,2020-04-14T23:49:26+00:00,,COMPLETED
T0000207,A00020,DEBIT,226.50,Interest Credit,126309.79,2025-07-06T15:03:26+00:00,,COMPLETED
T0000895,A00084,DEBIT,1724.18,POS Purchase,20352.29,2022-07-01T06:05:44+00:00,,COMPLETED
T0000992,A00090,CREDIT,704.04,Transfer Out,149124.1,2025-05-22T09:56:33+00:00,,COMPLETED
T0001834,A00177,CREDIT,1583.39,Interest Credit,72955.6,2023-03-28T10:26:37+00:00,,COMPLETED
T0000514,A00050,CREDIT,1088.20,Interest Credit,149872.3,2024-06-24T07:10:23+00:00,,COMPLETED
T0001721,A00167,CREDIT,221.01,Transfer Out,159972.48,2023-08-23T10:57:36+00:00,,COMPLETED
T0002130,A00209,DEBIT,983.16,Transfer In,129605.61,2020-07-06T20:46:14+00:00,,COMPLETED
T0002217,A00216,DEBIT,1729.44,ATM Withdrawal,50394.68,2019-04-16T07:25:46+00:00,,COMPLETED
T0000401,A00038,DEBIT,36.02,Salary Deposit,109118.85,2019-02-20T03:13:53+00:00,,COMPLETED
T0000685,A00066,CREDIT,1061.16,Transfer In,34441.42,2020-12-25T21:03:14+00:00,,COMPLETED
T0001660,A00161,CREDIT,12504.30,Interest Credit,185414.63,2020-05-14T02:40:49+00:00,,COMPLETED
T0002185,A00213,DEBIT,7018.85,Transfer Out,11224.8,2023-11-28T21:09:14+00:00,,COMPLETED
T0002099,A00205,DEBIT,517.61,ATM Withdrawal,25789.3,2022-02-08T06:29:15+00:00,,COMPLETED
T0001747,A00168,CREDIT,1440.33,Interest Credit,73974.29,2022-04-25T21:04:59+00:00,,COMPLETED
T0001895,A00183,CREDIT,1318.06,Interest Credit,177009.13,2023-09-02T11:16:11+00:00,,COMPLETED
T0000106,A00011,DEBIT,969.37,POS Purchase,166703.29,2019-08-08T13:50:31+00:00,,COMPLETED
T0001030,A00095,CREDIT,1464.68,Transfer Out,63380.67,2025-12-08T13:14:53+00:00,,COMPLETED
T0001114,A00103,CREDIT,61.37,Interest Credit,175795.7,2020-08-21T07:46:02+00:00,,COMPLETED
T0001639,A00160,DEBIT,68.53,Transfer In,141285.89,2019-09-17T20:50:34+00:00,,COMPLETED
T0001924,A00186,CREDIT,1450.48,Interest Credit,52703.07,2022-08-20T15:18:35+00:00,,COMPLETED
T0000628,A00059,DEBIT,1276.53,Salary Deposit,1103.53,2021-04-28T14:45:11+00:00,,COMPLETED
T0000210,A00021,DEBIT,505.03,Fee,133576.87,2021-12-21T15:00:10+00:00,,COMPLETED
T0002144,A00210,CREDIT,669.44,Transfer Out,194066.87,2019-01-25T07:51:58+00:00,,COMPLETED
T0000964,A00088,DEBIT,1686.11,Interest Credit,196225.19,2023-06-06T12:44:11+00:00,,COMPLETED
T0001121,A00103,CREDIT,1934.24,Interest Credit,175595.84,2025-06-21T05:26:02+00:00,,COMPLETED
T0001611,A00157,DEBIT,1587.97,Transfer Out,98435.35,2025-10-15T09:31:47+00:00,,COMPLETED
T0001407,A00136,CREDIT,700.92,Transfer Out,115964.2,2025-03-30T12:06:40+00:00,,COMPLETED
T0000587,A00055,DEBIT,836.14,ATM Withdrawal,120128.48,2025-11-15T06:35:39+00:00,,COMPLETED
T0000489,A00047,CREDIT,1662.62,Fee,125858.92,2021-11-28T11:34:30+00:00,,COMPLETED
T0000645,A00062,CREDIT,1808.29,Interest Credit,108408.62,2024-08-26T13:14:51+00:00,,COMPLETED
T0000003,A00001,DEBIT,1306.95,Transfer Out,139957.12,2021-07-13T22:03:14+00:00,,COMPLETED
T0000693,A00066,DEBIT,1746.68,Interest Credit,34777.73,2023-12-26T03:42:08+00:00,,COMPLETED
T0001486,A00145,DEBIT,32869.59,Interest Credit,114597.26,2020-03-07T05:18:44+00:00,,COMPLETED
T0001342,A00127,DEBIT,1446.72,Transfer In,20835.21,2023-10-31T11:22:41+00:00,,COMPLETED
T0000196,A00020,DEBIT,125.25,Salary Deposit,126168.17,2019-05-04T17:09:54+00:00,,COMPLETED
T0000582,A00055,DEBIT,1852.03,POS Purchase,119514.85,2022-06-22T05:41:57+00:00,,COMPLETED
T0000481,A00046,CREDIT,1653.36,Transfer In,94890.82,2023-03-18T08:12:54+00:00,,COMPLETED
T0002085,A00203,DEBIT,1242.85,Salary Deposit,187809.55,2025-07-21T06:44:46+00:00,,COMPLETED
T0002034,A00199,CREDIT,10.55,Salary Deposit,93489.78,2025-11-28T01:03:16+00:00,,COMPLETED
T0002234,A00217,DEBIT,681.72,Interest Credit,29552.24,2023-10-03T23:28:23+00:00,,COMPLETED
T0002154,A00211,DEBIT,400.31,Salary Deposit,137715.59,2024-07-25T05:42:52+00:00,,COMPLETED
T0000138,A00014,CREDIT,426.64,Interest Credit,68248.66,2023-09-18T05:13:56+00:00,,COMPLETED
T0001098,A00102,CREDIT,13.73,Transfer In,175259.9,2022-12-23T09:15:06+00:00,,COMPLETED
T0001502,A00147,CREDIT,641.28,Transfer In,116960.4,2020-09-07T19:12:11+00:00,,COMPLETED
T0001892,A00183,CREDIT,1020.56,Fee,177043.03,2025-01-24T17:10:12+00:00,,COMPLETED
T0001684,A00163,DEBIT,1642.35,POS Purchase,158372.2,2019-12-19T01:15:19+00:00,,COMPLETED
T0002250,A00219,DEBIT,720.79,POS Purchase,108953.1,2024-06-15T07:22:16+00:00,,COMPLETED
T0000651,A00062,CREDIT,1034.73,Transfer In,108872.42,2024-06-22T04:58:29+00:00,,COMPLETED
T0000463,A00044,CREDIT,1838.68,Salary Deposit,57604.76,2023-06-03T23:40:24+00:00,,COMPLETED
T0000639,A00061,CREDIT,1248.26,POS Purchase,43202.13,2021-05-17T09:03:12+00:00,,COMPLETED
T0001729,A00167,CREDIT,1317.74,Fee,159316.88,2021-06-26T10:59:59+00:00,,COMPLETED
T0000416,A00040,DEBIT,1928.14,POS Purchase,114356.52,2023-06-23T10:37:17+00:00,,COMPLETED
T0000039,A00006,CREDIT,662.49,Transfer In,162659.19,2024-08-06T12:42:39+00:00,,COMPLETED
T0001563,A00153,CREDIT,517.29,Transfer In,116119.93,2025-08-23T12:47:57+00:00,,COMPLETED
T0001130,A00104,DEBIT,427.52,Transfer In,141159.52,2020-09-06T17:16:31+00:00,,COMPLETED
T0001756,A00169,CREDIT,1333.67,Salary Deposit,177263.21,2023-12-20T20:38:48+00:00,,COMPLETED
T0002256,A00220,DEBIT,1069.13,Transfer In,32956.27,2023-08-10T12:35:37+00:00,,COMPLETED
T0000856,A00080,CREDIT,1235.04,Interest Credit,123444.61,2025-01-18T09:37:41+00:00,,COMPLETED
T0000498,A00048,CREDIT,247.05,POS Purchase,99606.79,2021-10-06T21:29:47+00:00,,COMPLETED
T0002315,A00227,CREDIT,1888.40,ATM Withdrawal,163751.24,2025-08-19T10:34:59+00:00,,COMPLETED
T0001845,A00180,DEBIT,1101.50,Salary Deposit,160237.07,2025-09-09T02:53:01+00:00,,COMPLETED
T0000314,A00031,DEBIT,269.37,Transfer In,184107.59,2020-09-08T12:13:14+00:00,,COMPLETED
T0000749,A00072,CREDIT,219.50,ATM Withdrawal,141986.78,2024-02-18T00:18:52+00:00,,COMPLETED
T0001438,A00139,DEBIT,1237.46,POS Purchase,56571.66,2022-05-29T08:58:40+00:00,,COMPLETED
T0001824,A00176,CREDIT,1958.09,ATM Withdrawal,145895.45,2019-08-13T09:06:08+00:00,,COMPLETED
T0000273,A00026,DEBIT,1309.62,Interest Credit,111086.44,2025-08-12T09:42:54+00:00,,COMPLETED
T0000779,A00074,CREDIT,1083.17,ATM Withdrawal,38379.29,2022-01-31T03:04:49+00:00,,COMPLETED
T0002096,A00205,DEBIT,951.08,ATM Withdrawal,25071.27,2019-10-28T00:57:10+00:00,,COMPLETED
T0000740,A00071,CREDIT,1552.57,Fee,176328.88,2019-08-12T02:14:09+00:00,,COMPLETED
T0000217,A00022,DEBIT,544.63,Fee,47620.04,2021-06-25T01:04:53+00:00,,COMPLETED
T0001399,A00135,DEBIT,463.21,Transfer Out,160607.54,2022-04-24T13:52:10+00:00,,COMPLETED
T0000135,A00014,CREDIT,1544.60,Interest Credit,68360.76,2022-07-26T04:24:19+00:00,,COMPLETED
T0001744,A00168,DEBIT,903.71,Transfer In,74366.27,2023-02-19T22:53:08+00:00,,COMPLETED
T0002077,A00202,CREDIT,646.61,Salary Deposit,13895.82,2024-08-04T05:29:56+00:00,,COMPLETED
T0002047,A00200,CREDIT,531.84,Interest Credit,173198.54,2024-09-18T14:31:32+00:00,,COMPLETED
T0001109,A00103,DEBIT,1101.89,Fee,175922.02,2023-02-13T14:31:52+00:00,,COMPLETED
T0001139,A00105,CREDIT,100.24,Interest Credit,160026.78,2020-07-28T09:42:10+00:00,,COMPLETED
T0000400,A00038,CREDIT,27145.06,Transfer In,108576.63,2024-08-22T19:34:57+00:00,,COMPLETED
T0000814,A00077,DEBIT,1548.62,Interest Credit,152351.29,2020-09-14T10:56:51+00:00,,COMPLETED
T0000619,A00059,DEBIT,1779.85,Fee,521.22,2022-06-29T22:50:06+00:00,,COMPLETED
T0001413,A00137,CREDIT,314.47,Salary Deposit,98355.0,2024-06-29T06:27:53+00:00,,COMPLETED
T0001626,A00159,DEBIT,1787.72,ATM Withdrawal,31655.77,2025-01-13T13:48:48+00:00,,COMPLETED
T0000824,A00078,DEBIT,567.50,Transfer Out,95344.86,2020-10-08T19:14:22+00:00,,COMPLETED
T0001940,A00188,CREDIT,1144.04,Transfer In,755.91,2022-01-10T01:49:15+00:00,,COMPLETED
T0000169,A00016,CREDIT,25.74,Fee,153140.41,2024-10-30T01:14:29+00:00,,COMPLETED
T0000140,A00014,CREDIT,569.42,Salary Deposit,68878.09,2024-04-11T22:36:01+00:00,,COMPLETED
T0001301,A00120,DEBIT,1496.67,POS Purchase,67027.27,2021-11-21T10:41:46+00:00,,COMPLETED
T0000349,A00034,DEBIT,775.44,Transfer Out,108778.21,2023-07-23T16:31:38+00:00,,COMPLETED
T0000237,A00024,DEBIT,1800.08,Transfer Out,152947.22,2023-08-11T17:29:49+00:00,,COMPLETED
T0000319,A00031,CREDIT,981.82,Transfer In,184954.67,2020-11-29T06:25:20+00:00,,COMPLETED
T0000888,A00083,CREDIT,1116.77,Fee,81719.45,2019-05-18T02:19:53+00:00,,COMPLETED
T0000729,A00070,DEBIT,367.99,Transfer In,127096.95,2020-12-17T19:55:30+00:00,,COMPLETED
T0000718,A00069,DEBIT,507.27,POS Purchase,121172.23,2022-12-14T00:46:54+00:00,,COMPLETED
